
Predictions were generated on 03-May-2022 at 09:10:22 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: FAST Certification Test #19: NREL 5.0 MW Baseline Wind Turbine with OC3 Monopile RF Configuration, for use in offshore analysis

Time      	TwHt1TPxi 	TwHt1TPyi 	TTDspTwst 	PtfmSurge 	PtfmSway  	PtfmRoll  	PtfmPitch 	M2N1TDXss 	M2N1TDYss 	M1N1TDXss 	M1N1TDYss 
(s)       	(m)       	(m)       	(deg)     	(m)       	(m)       	(deg)     	(deg)     	(m)       	(m)       	(m)       	(m)       
    2.6000	 1.544E-01	 8.914E-21	 0.000E+00	 1.038E-01	 2.726E-20	-7.526E-20	 1.335E-02	 1.018E-01	 1.442E-20	 1.000E-01	 0.000E+00
    2.6500	 1.543E-01	-1.215E-20	 0.000E+00	 1.035E-01	 2.732E-20	-7.447E-20	 1.235E-02	 1.016E-01	 1.464E-20	 1.000E-01	 0.000E+00
    2.7000	 1.537E-01	-1.660E-20	 0.000E+00	 1.031E-01	-8.028E-22	-8.361E-21	 1.108E-02	 1.014E-01	-1.740E-21	 1.000E-01	 0.000E+00
    2.7500	 1.527E-01	-1.801E-20	 0.000E+00	 1.027E-01	-2.712E-20	 7.002E-20	 9.850E-03	 1.012E-01	-1.473E-20	 1.000E-01	 0.000E+00
    2.8000	 1.514E-01	-3.599E-20	 0.000E+00	 1.024E-01	-2.520E-20	 8.111E-20	 8.995E-03	 1.011E-01	-1.222E-20	 1.000E-01	 0.000E+00
    2.8500	 1.498E-01	-5.199E-20	 0.000E+00	 1.024E-01	-1.626E-20	 7.054E-20	 8.759E-03	 1.011E-01	-6.041E-21	 1.000E-01	 0.000E+00
    2.9000	 1.479E-01	-4.296E-20	 0.000E+00	 1.025E-01	-2.342E-20	 7.386E-20	 9.112E-03	 1.012E-01	-1.156E-20	 1.000E-01	 0.000E+00
    2.9500	 1.457E-01	-2.614E-20	 0.000E+00	 1.027E-01	-2.258E-20	 5.614E-20	 9.738E-03	 1.013E-01	-1.256E-20	 1.000E-01	 0.000E+00
    3.0000	 1.432E-01	-2.597E-20	 0.000E+00	 1.029E-01	 3.592E-21	-1.176E-20	 1.023E-02	 1.014E-01	 1.597E-21	 1.000E-01	 0.000E+00
    3.0500	 1.403E-01	-3.055E-20	 0.000E+00	 1.030E-01	 2.689E-20	-7.086E-20	 1.026E-02	 1.014E-01	 1.450E-20	 1.000E-01	 0.000E+00
    3.1000	 1.369E-01	-1.967E-20	 0.000E+00	 1.028E-01	 2.118E-20	-6.643E-20	 9.650E-03	 1.013E-01	 1.032E-20	 1.000E-01	 0.000E+00
    3.1500	 1.332E-01	-9.523E-21	 0.000E+00	 1.024E-01	 9.534E-21	-4.514E-20	 8.351E-03	 1.011E-01	 3.387E-21	 1.000E-01	 0.000E+00
    3.2000	 1.292E-01	-2.186E-20	 0.000E+00	 1.019E-01	 1.309E-20	-3.602E-20	 6.524E-03	 1.009E-01	 6.907E-21	 1.000E-01	 0.000E+00
    3.2500	 1.249E-01	-4.225E-20	 0.000E+00	 1.012E-01	 1.187E-20	-2.086E-20	 4.517E-03	 1.006E-01	 7.592E-21	 1.000E-01	 0.000E+00
    3.3000	 1.205E-01	-4.524E-20	 0.000E+00	 1.007E-01	-1.108E-20	 3.455E-20	 2.736E-03	 1.003E-01	-5.346E-21	 1.000E-01	 0.000E+00
    3.3500	 1.160E-01	-4.105E-20	 0.000E+00	 1.003E-01	-2.899E-20	 8.027E-20	 1.464E-03	 1.001E-01	-1.533E-20	 1.000E-01	 0.000E+00
    3.4000	 1.115E-01	-5.020E-20	 0.000E+00	 1.001E-01	-2.214E-20	 6.646E-20	 7.789E-04	 1.000E-01	-1.160E-20	 1.000E-01	 0.000E+00
    3.4500	 1.070E-01	-6.029E-20	 0.000E+00	 1.001E-01	-1.020E-20	 3.950E-20	 5.730E-04	 1.000E-01	-4.279E-21	 1.000E-01	 0.000E+00
    3.5000	 1.024E-01	-4.942E-20	 0.000E+00	 1.002E-01	-1.122E-20	 3.736E-20	 5.990E-04	 1.001E-01	-5.414E-21	 1.000E-01	 0.000E+00
    3.5500	 9.790E-02	-2.999E-20	 0.000E+00	 1.002E-01	-1.089E-20	 2.715E-20	 5.289E-04	 1.001E-01	-5.851E-21	 1.000E-01	 0.000E+00
    3.6000	 9.332E-02	-2.764E-20	 0.000E+00	 1.001E-01	 8.179E-21	-1.968E-20	 5.265E-05	 1.001E-01	 4.745E-21	 1.000E-01	 0.000E+00
    3.6500	 8.869E-02	-3.428E-20	 0.000E+00	 9.980E-02	 2.367E-20	-5.768E-20	-9.975E-04	 9.993E-02	 1.336E-20	 1.000E-01	 0.000E+00
    3.7000	 8.408E-02	-2.746E-20	 0.000E+00	 9.932E-02	 1.395E-20	-4.466E-20	-2.576E-03	 9.970E-02	 6.885E-21	 1.000E-01	 0.000E+00
    3.7500	 7.953E-02	-1.540E-20	 0.000E+00	 9.875E-02	-3.027E-21	-6.061E-21	-4.456E-03	 9.942E-02	-3.234E-21	 1.000E-01	 0.000E+00
    3.8000	 7.514E-02	-2.275E-20	 0.000E+00	 9.818E-02	-5.370E-22	-1.032E-21	-6.315E-03	 9.915E-02	-4.778E-22	 1.000E-01	 0.000E+00
    3.8500	 7.099E-02	-3.925E-20	 0.000E+00	 9.773E-02	 5.497E-21	-2.364E-21	-7.839E-03	 9.893E-02	 3.984E-21	 1.000E-01	 0.000E+00
    3.9000	 6.716E-02	-3.703E-20	 0.000E+00	 9.745E-02	-9.607E-21	 3.315E-20	-8.806E-03	 9.880E-02	-4.047E-21	 1.000E-01	 0.000E+00
    3.9500	 6.367E-02	-2.249E-20	 0.000E+00	 9.737E-02	-2.540E-20	 7.053E-20	-9.160E-03	 9.876E-02	-1.341E-20	 1.000E-01	 0.000E+00
    4.0000	 6.054E-02	-2.244E-20	 0.000E+00	 9.744E-02	-1.452E-20	 4.094E-20	-9.033E-03	 9.881E-02	-7.607E-21	 1.000E-01	 0.000E+00
    4.0500	 5.775E-02	-3.041E-20	 0.000E+00	 9.758E-02	 5.556E-21	-6.926E-21	-8.705E-03	 9.888E-02	 3.527E-21	 1.000E-01	 0.000E+00
    4.1000	 5.526E-02	-2.022E-20	 0.000E+00	 9.767E-02	 3.640E-21	-1.003E-20	-8.489E-03	 9.894E-02	 1.789E-21	 1.000E-01	 0.000E+00
    4.1500	 5.305E-02	 1.342E-21	 0.000E+00	 9.765E-02	-7.343E-21	 7.578E-21	-8.626E-03	 9.893E-02	-5.041E-21	 1.000E-01	 0.000E+00
    4.2000	 5.112E-02	 5.480E-21	 0.000E+00	 9.748E-02	 2.179E-21	-9.126E-21	-9.212E-03	 9.885E-02	 9.019E-22	 1.000E-01	 0.000E+00
    4.2500	 4.950E-02	-4.195E-21	 0.000E+00	 9.718E-02	 1.796E-20	-3.909E-20	-1.017E-02	 9.870E-02	 1.059E-20	 1.000E-01	 0.000E+00
    4.3000	 4.823E-02	-1.523E-22	 0.000E+00	 9.682E-02	 1.084E-20	-2.451E-20	-1.128E-02	 9.852E-02	 6.354E-21	 1.000E-01	 0.000E+00
    4.3500	 4.736E-02	 1.608E-20	 0.000E+00	 9.651E-02	-8.735E-21	 1.577E-20	-1.225E-02	 9.837E-02	-5.328E-21	 1.000E-01	 0.000E+00
    4.4000	 4.695E-02	 1.747E-20	 0.000E+00	 9.634E-02	-8.351E-21	 1.534E-20	-1.279E-02	 9.828E-02	-5.361E-21	 1.000E-01	 0.000E+00
    4.4500	 4.704E-02	 5.931E-21	 0.000E+00	 9.635E-02	 5.353E-21	-1.481E-20	-1.276E-02	 9.829E-02	 2.574E-21	 1.000E-01	 0.000E+00
    4.5000	 4.761E-02	 1.011E-20	 0.000E+00	 9.654E-02	 2.518E-21	-5.741E-23	-1.217E-02	 9.838E-02	 2.013E-21	 1.000E-01	 0.000E+00
    4.5500	 4.864E-02	 2.925E-20	 0.000E+00	 9.685E-02	-1.089E-20	 2.916E-20	-1.117E-02	 9.854E-02	-5.653E-21	 1.000E-01	 0.000E+00
    4.6000	 5.008E-02	 3.459E-20	 0.000E+00	 9.721E-02	-4.222E-21	 1.004E-20	-1.004E-02	 9.872E-02	-2.221E-21	 1.000E-01	 0.000E+00
    4.6500	 5.186E-02	 2.515E-20	 0.000E+00	 9.752E-02	 1.476E-20	-3.539E-20	-9.056E-03	 9.886E-02	 8.245E-21	 1.000E-01	 0.000E+00
    4.7000	 5.395E-02	 2.877E-20	 0.000E+00	 9.770E-02	 1.251E-20	-3.873E-20	-8.414E-03	 9.895E-02	 5.975E-21	 1.000E-01	 0.000E+00
    4.7500	 5.632E-02	 4.705E-20	 0.000E+00	 9.775E-02	-5.039E-21	 5.080E-21	-8.175E-03	 9.897E-02	-3.393E-21	 1.000E-01	 0.000E+00
    4.8000	 5.895E-02	 5.108E-20	 0.000E+00	 9.771E-02	-4.366E-21	 6.413E-21	-8.239E-03	 9.894E-02	-2.832E-21	 1.000E-01	 0.000E+00
    4.8500	 6.187E-02	 3.929E-20	 0.000E+00	 9.763E-02	 9.899E-21	-2.310E-20	-8.382E-03	 9.890E-02	 5.612E-21	 1.000E-01	 0.000E+00
    4.9000	 6.510E-02	 4.003E-20	 0.000E+00	 9.761E-02	 6.650E-21	-1.775E-20	-8.340E-03	 9.888E-02	 3.660E-21	 1.000E-01	 0.000E+00
    4.9500	 6.865E-02	 5.744E-20	 0.000E+00	 9.772E-02	-9.230E-21	 2.162E-20	-7.895E-03	 9.893E-02	-4.947E-21	 1.000E-01	 0.000E+00
    5.0000	 7.251E-02	 6.320E-20	 0.000E+00	 9.799E-02	-5.109E-21	 1.207E-20	-6.946E-03	 9.905E-02	-2.787E-21	 1.000E-01	 0.000E+00
    5.0500	 7.664E-02	 5.296E-20	 0.000E+00	 9.841E-02	 1.298E-20	-3.677E-20	-5.546E-03	 9.925E-02	 6.756E-21	 1.000E-01	 0.000E+00
    5.1000	 8.099E-02	 5.360E-20	 0.000E+00	 9.891E-02	 1.410E-20	-4.274E-20	-3.883E-03	 9.950E-02	 6.869E-21	 1.000E-01	 0.000E+00
    5.1500	 8.548E-02	 6.933E-20	 0.000E+00	 9.941E-02	 3.069E-23	-1.177E-20	-2.217E-03	 9.974E-02	-9.652E-22	 1.000E-01	 0.000E+00
    5.2000	 9.004E-02	 7.258E-20	 0.000E+00	 9.983E-02	 1.167E-21	-1.226E-20	-7.919E-04	 9.994E-02	-1.159E-22	 1.000E-01	 0.000E+00
    5.2500	 9.460E-02	 5.732E-20	 0.000E+00	 1.001E-01	 1.531E-20	-4.118E-20	 2.377E-04	 1.001E-01	 8.208E-21	 1.000E-01	 0.000E+00
    5.3000	 9.913E-02	 5.097E-20	 0.000E+00	 1.003E-01	 1.124E-20	-2.534E-20	 8.565E-04	 1.001E-01	 6.636E-21	 1.000E-01	 0.000E+00
    5.3500	 1.036E-01	 6.076E-20	 0.000E+00	 1.003E-01	-8.505E-21	 1.861E-20	 1.186E-03	 1.002E-01	-4.885E-21	 1.000E-01	 0.000E+00
    5.4000	 1.080E-01	 6.183E-20	 0.000E+00	 1.004E-01	-1.188E-20	 2.543E-20	 1.438E-03	 1.002E-01	-6.952E-21	 1.000E-01	 0.000E+00
    5.4500	 1.124E-01	 4.689E-20	 0.000E+00	 1.005E-01	 3.322E-21	-7.734E-21	 1.845E-03	 1.002E-01	 1.692E-21	 1.000E-01	 0.000E+00
    5.5000	 1.168E-01	 4.252E-20	 0.000E+00	 1.007E-01	 4.870E-21	-1.082E-20	 2.577E-03	 1.003E-01	 2.693E-21	 1.000E-01	 0.000E+00
    5.5500	 1.210E-01	 5.688E-20	 0.000E+00	 1.010E-01	-8.155E-21	 1.859E-20	 3.688E-03	 1.004E-01	-4.454E-21	 1.000E-01	 0.000E+00
    5.6000	 1.252E-01	 6.222E-20	 0.000E+00	 1.014E-01	-2.461E-21	-7.897E-22	 5.096E-03	 1.006E-01	-1.876E-21	 1.000E-01	 0.000E+00
    5.6500	 1.292E-01	 4.864E-20	 0.000E+00	 1.019E-01	 2.013E-20	-5.327E-20	 6.609E-03	 1.009E-01	 1.089E-20	 1.000E-01	 0.000E+00
    5.7000	 1.329E-01	 4.081E-20	 0.000E+00	 1.023E-01	 2.395E-20	-6.447E-20	 7.992E-03	 1.011E-01	 1.288E-20	 1.000E-01	 0.000E+00
    5.7500	 1.364E-01	 4.882E-20	 0.000E+00	 1.026E-01	 4.229E-21	-2.345E-20	 9.039E-03	 1.012E-01	 1.128E-21	 1.000E-01	 0.000E+00
    5.8000	 1.395E-01	 4.761E-20	 0.000E+00	 1.028E-01	-4.808E-21	-2.798E-21	 9.639E-03	 1.013E-01	-4.278E-21	 1.000E-01	 0.000E+00
    5.8500	 1.422E-01	 2.569E-20	 0.000E+00	 1.028E-01	 6.454E-21	-1.850E-20	 9.812E-03	 1.013E-01	 3.306E-21	 1.000E-01	 0.000E+00
    5.9000	 1.445E-01	 9.134E-21	 0.000E+00	 1.027E-01	 6.819E-21	-7.766E-21	 9.697E-03	 1.013E-01	 4.685E-21	 1.000E-01	 0.000E+00
    5.9500	 1.465E-01	 1.322E-20	 0.000E+00	 1.026E-01	-1.400E-20	 4.377E-20	 9.502E-03	 1.012E-01	-6.593E-21	 1.000E-01	 0.000E+00
    6.0000	 1.482E-01	 1.483E-20	 0.000E+00	 1.026E-01	-2.236E-20	 6.125E-20	 9.435E-03	 1.012E-01	-1.177E-20	 1.000E-01	 0.000E+00
    6.0500	 1.496E-01	-3.836E-22	 0.000E+00	 1.027E-01	-5.194E-21	 1.730E-20	 9.629E-03	 1.012E-01	-2.572E-21	 1.000E-01	 0.000E+00
    6.1000	 1.506E-01	-9.565E-21	 0.000E+00	 1.028E-01	 6.628E-21	-1.780E-20	 1.011E-02	 1.013E-01	 3.284E-21	 1.000E-01	 0.000E+00
    6.1500	 1.513E-01	 1.477E-21	 0.000E+00	 1.030E-01	-7.420E-22	-1.680E-21	 1.076E-02	 1.014E-01	-8.035E-22	 1.000E-01	 0.000E+00
    6.2000	 1.516E-01	 8.502E-21	 0.000E+00	 1.032E-01	-1.452E-21	-4.581E-21	 1.141E-02	 1.015E-01	-1.551E-21	 1.000E-01	 0.000E+00
    6.2500	 1.515E-01	-5.884E-21	 0.000E+00	 1.034E-01	 1.658E-20	-4.590E-20	 1.185E-02	 1.016E-01	 8.778E-21	 1.000E-01	 0.000E+00
    6.3000	 1.509E-01	-2.104E-20	 0.000E+00	 1.034E-01	 2.406E-20	-6.161E-20	 1.191E-02	 1.016E-01	 1.302E-20	 1.000E-01	 0.000E+00
    6.3500	 1.499E-01	-1.937E-20	 0.000E+00	 1.033E-01	 4.454E-21	-1.551E-20	 1.155E-02	 1.015E-01	 2.257E-21	 1.000E-01	 0.000E+00
    6.4000	 1.485E-01	-2.077E-20	 0.000E+00	 1.031E-01	-1.265E-20	 3.000E-20	 1.080E-02	 1.014E-01	-7.191E-21	 1.000E-01	 0.000E+00
    6.4500	 1.466E-01	-4.231E-20	 0.000E+00	 1.028E-01	-7.171E-21	 2.349E-20	 9.825E-03	 1.013E-01	-3.617E-21	 1.000E-01	 0.000E+00
    6.5000	 1.444E-01	-6.176E-20	 0.000E+00	 1.024E-01	-4.048E-21	 2.027E-20	 8.821E-03	 1.011E-01	-1.447E-21	 1.000E-01	 0.000E+00
    6.5500	 1.419E-01	-5.879E-20	 0.000E+00	 1.022E-01	-1.896E-20	 5.610E-20	 7.968E-03	 1.010E-01	-9.736E-21	 1.000E-01	 0.000E+00
    6.6000	 1.391E-01	-5.249E-20	 0.000E+00	 1.020E-01	-2.483E-20	 7.184E-20	 7.370E-03	 1.009E-01	-1.269E-20	 1.000E-01	 0.000E+00
    6.6500	 1.361E-01	-6.176E-20	 0.000E+00	 1.019E-01	-7.638E-21	 3.223E-20	 7.024E-03	 1.009E-01	-2.969E-21	 1.000E-01	 0.000E+00
    6.7000	 1.329E-01	-6.973E-20	 0.000E+00	 1.019E-01	 6.874E-21	-9.619E-21	 6.823E-03	 1.009E-01	 4.516E-21	 1.000E-01	 0.000E+00
    6.7500	 1.294E-01	-5.897E-20	 0.000E+00	 1.019E-01	 1.768E-21	-8.503E-21	 6.595E-03	 1.009E-01	 5.305E-22	 1.000E-01	 0.000E+00
    6.8000	 1.256E-01	-4.878E-20	 0.000E+00	 1.018E-01	-7.208E-22	-8.268E-21	 6.164E-03	 1.008E-01	-1.476E-21	 1.000E-01	 0.000E+00
    6.8500	 1.216E-01	-5.971E-20	 0.000E+00	 1.016E-01	 1.341E-20	-3.873E-20	 5.406E-03	 1.007E-01	 6.816E-21	 1.000E-01	 0.000E+00
